lon,lat
-96.6010,46.3196
-96.6473,46.3585
-96.7091,46.4353
-96.7444,46.5660
-96.7858,46.6296
-96.7898,46.6357
-96.7905,46.6369
-96.7868,46.6928
-96.7888,46.7776
-96.7640,46.9125
-96.8335,47.0101
-96.8191,47.0812
-96.8266,47.1505
-96.8360,47.2380
-96.8402,47.2770
-96.8575,47.4405
-96.8560,47.4992
-96.8541,47.5720
-96.8824,47.6490
-96.8935,47.6721
-96.9285,47.7449
-96.9964,47.8444
-97.0374,47.9333
-97.0690,48.0263
-97.1056,48.0914
-97.1467,48.1686
-97.1458,48.1732
-97.1419,48.1937
-97.1295,48.2578
-97.1379,48.3446
-97.1392,48.4305
-97.1491,48.5323
-97.1481,48.5407
-97.1477,48.5439
-97.1429,48.5837
-97.1000,48.6679
-97.1213,48.7136
-97.1526,48.7726
-97.1874,48.8676
-97.2279,48.9459
